area,layer,thickness,density,cellsize
precentral,I,0.19,7000.0,30.5
precentral,II,,,
precentral,III,1.4475,26925.0,370.61875
precentral,IV,,,
precentral,V,0.7625,18250.0,571.875
precentral,VI,1.28,19875.0,318.75
superiorfrontal,I,0.2175,6500.0,36.0
superiorfrontal,II,0.16333333333333333,73333.33333333333,49.333333333333336
superiorfrontal,III,0.9662499999999999,27787.5,314.98854166666666
superiorfrontal,IV,0.22999999999999998,70000.0,82.5
superiorfrontal,V,0.50625,26166.666666666664,468.75
superiorfrontal,VI,0.79,22687.5,243.28125
caudalmiddlefrontal,I,0.235,6000.0,32.0
caudalmiddlefrontal,II,0.15,55000.0,35.0
caudalmiddlefrontal,III,1.25,28300.0,448.02083333333337
caudalmiddlefrontal,IV,0.15,45000.0,112.5
caudalmiddlefrontal,V,0.5,23750.0,675.0
caudalmiddlefrontal,VI,0.81,17750.0,300.0
parsopercularis,I,0.24,5000.0,32.0
parsopercularis,II,0.18,55000.0,87.5
parsopercularis,III,1.0,24666.666666666668,579.1666666666666
parsopercularis,IV,0.17,60000.0,73.5
parsopercularis,V,0.43,24000.0,475.0
parsopercularis,VI,0.95,16250.0,256.25
rostralmiddlefrontal,I,0.22666666666666668,7666.666666666667,42.0
rostralmiddlefrontal,II,0.18000000000000002,76666.66666666667,48.5
rostralmiddlefrontal,III,0.7366666666666667,30500.0,235.125
rostralmiddlefrontal,IV,0.26333333333333336,80000.0,60.166666666666664
rostralmiddlefrontal,V,0.39999999999999997,30555.55555555555,306.25
rostralmiddlefrontal,VI,0.7933333333333333,27833.333333333332,186.875
parstriangularis,I,0.21,8000.0,45.0
parstriangularis,II,0.14,65000.0,32.5
parstriangularis,III,0.91,25000.0,612.5
parstriangularis,IV,0.22,70000.0,45.5
parstriangularis,V,0.39,21000.0,425.0
parstriangularis,VI,0.7,27750.0,157.5
parsorbitalis,I,0.26,8500.0,32.0
parsorbitalis,II,0.125,75000.0,46.75
parsorbitalis,III,0.8,29500.0,245.70833333333334
parsorbitalis,IV,0.175,46250.0,54.0
parsorbitalis,V,0.51,36541.66666666667,204.6875
parsorbitalis,VI,0.7849999999999999,24500.0,140.625
frontalpole,I,0.22,5000.0,36.0
frontalpole,II,0.15,90000.0,33.0
frontalpole,III,0.6,35000.0,214.75
frontalpole,IV,0.3,80000.0,75.0
frontalpole,V,0.4,39333.333333333336,200.0
frontalpole,VI,0.7,30000.0,132.5
lateralorbitofrontal,I,0.31333333333333335,9333.333333333332,52.333333333333336
lateralorbitofrontal,II,0.11833333333333335,65000.0,84.58333333333334
